omega,torque
1.3059898884487886,0.6726743346599982
2.8727901347347355,0.7309165755627625
4.404772597769885,0.8100768420417275
5.93675506080503,0.9055348104428305
7.468737523840179,1.021946967029546
9.000719986875328,1.152328582406664
10.532702449910477,1.294351413442456
12.064684912945626,1.4573284326638571
13.596667375980775,1.6342749106756607
15.128649839015925,1.8205343612144027
16.660632302051074,2.0207632705435508
18.192614765086223,2.234961638663105
19.72459722812137,2.463129465573063
21.25657969115652,2.7075949944051594
22.788562154191663,2.9637017388959297
24.320544617226812,3.2291214559136385
25.85252708026196,3.5038541454582823
27.38450954329711,3.797212780056803
28.91649200633226,4.092899657787054
30.448474469367408,4.41186896683465
31.980456932402557,4.735494762145713
33.51243939543771,5.066105286851981
35.04442185847286,5.413013513480388
36.57640432150801,5.7738911988992
38.10838678454316,6.1510665862401535
39.640369247578306,6.539883189239777
41.172351710613455,6.947325737293275
42.704334173648604,7.36873774413718
44.23631663668375,7.776180292190677
45.7682990997189,8.188279326507644
47.30028156275405,8.614347819615016
48.8322640257892,9.03575982645892
50.36424648882435,9.464156562698026
51.8962289518595,9.915835730254475
53.42821141489465,10.383812599733062
54.9601938779298,10.875071900528996
56.49217634096493,11.391941875774005
58.02415880400008,11.955376713653699
59.48650570053364,12.51368941664358
60.809581464063996,13.050944453975326
62.13265722759435,13.617509485398799
63.455732991124705,14.206270434678135
64.63953762165187,14.740537559990825
