speed,force
10.014970123708292,395.2239200511161
11.559170586478327,390.42084075633335
13.103371049248363,384.7751159712378
14.647571512018398,378.5816716174387
16.191771974788434,371.5199748785688
17.73597243755847,364.78126105097994
19.280172900328505,355.0683886341595
20.82437336309854,345.8448943187873
22.36857382586858,335.9438098076122
23.912774288638612,325.28434435515555
25.456974751408648,313.9928947849643
27.001175214178684,302.0273288225229
28.545375676948726,289.3033819188
30.089576139718762,276.1159799954049
31.633776602488798,262.2965939542755
33.17797706525883,247.8030915208957
34.722177528028865,232.55120814623433
36.2663779907989,216.79373747738543
37.81057845356894,200.19362131822368
39.35477891633897,183.34071151196815
40.86221270142401,166.24343451352195
