speed,force
0,0
2.8822346528181235,11.820221958802222
4.426435115588159,22.81674560738395
5.970635578358195,38.91127447235817
7.367769330388228,64.27242536168353
8.434002983253254,100.23550223444568
9.353169925378275,142.85807759082616
10.419403578243301,183.218264589157
11.559170586478327,217.93130888930762
12.772470950083356,251.5949962273031
14.206371379798387,288.19991758624747
15.750571842568423,324.0203761196864
17.29477230533846,359.6052951755949
18.838972768108498,390.25231165827074
20.383173230878533,421.81781172538734
21.92737369364857,448.39485048985233
23.4715741564186,477.8565456494881
25.015774619188644,502.4337057836108
26.55997508195868,527.5585854864369
28.104175544728715,549.4757946894722
29.64837600749875,574.3942262471716
31.192576470268786,593.1473016340824
32.736776933038826,613.7210931697048
34.28097739580886,629.3529695345214
35.8251778585789,646.4572685787202
37.36937832134893,660.5336614943951
38.91357878411897,675.1928842075365
40.457779246889004,688.0432279348063
41.450479544384024,695.4585082495588
