phi_dot,Mm
1.3074921040604082,2.2210087205231543
6.872759340027663,2.251626938061417
11.791310102734762,2.277207705907647
16.709860865441854,2.299900322545432
21.628411628148946,2.323830718272551
26.546962390856045,2.345285555821002
31.465513153563137,2.366740393369453
36.384063916270236,2.3869574518285708
41.30261467897732,2.4067619172579104
46.22116544168442,2.4240908245085824
51.33134805228919,2.4447193802702545
56.058266967098604,2.4595738250694827
60.9768177298057,2.47195161596282
65.8953684925128,2.4835042207966014
70.81391925521989,2.4954694186601607
75.73247001792699,2.5049590583450527
80.65102078063408,2.5127983259108326
85.56957154334117,2.516511663178834
90.48812230604827,2.5231131516552807
95.40667306875535,2.5231131516552807
100.32522383146245,2.5227005586255027
105.24377459416955,2.5144486980299443
110.16232535687665,2.5033086862259406
115.08087611958375,2.4868049650348247
119.99942688229085,2.4636997553672617
124.91797764499792,2.4319300920743627
129.83652840770503,2.3931463472752394
134.7550791704121,2.344460369761446
139.67362993311923,2.282984008324538
144.5921806958263,2.210367635083626
148.8400199908915,2.1270662075313673
150.6285839046032,1.617135256412349
153.8341972944549,1.7013465944683324
156.44141662416615,1.758825823294683
161.13639689765927,1.8468731758492887
166.05494766036634,1.8996850836608608
170.97349842307347,1.9066991651670853
175.89204918578054,1.8642020830999606
180.3634589700597,1.7803081670451193
183.94058679748304,1.6802445336804104
186.62343266805055,1.579100299523426
188.6355670709762,1.48265667881284
190.42413098468785,1.3794052731109183
191.9891244091856,1.271993554358736
192.8834063660414,1.2069413866637526
194.0182910272665,1.0914611819959137
195.29796764955216,0.9518763756550497
196.2369637042508,0.8291093196446329
196.90767517189266,0.7213193906151543
197.57838663953453,0.6018049429894865
198.4726685963904,0.438418103197435
199.25516530863922,0.27767873534645826
199.47873579785318,0.15627323633430867
199.78501951077345,0.08533595721985421
199.94823382520252,0.006048114192171994
